SALE TYPE,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,Canyon Country,91387.0,512000,3.0,2.0,CAN2 - Canyon Country 2,1248.0,8321.0,1971.0,52,410.0,0.0,34.4520329,-118.3905453
PAST SALE,Single Family Residential,Canyon Country,91387.0,521000,3.0,2.0,CAN2 - Canyon Country 2,1326.0,8476.0,1975.0,31,393.0,0.0,34.455597,-118.39243959999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,679999,4.0,3.0,CAN2 - Canyon Country 2,2292.0,10813.0,1998.0,82,297.0,0.0,34.436265899999995,-118.3831049
PAST SALE,Single Family Residential,Canyon Country,91387.0,520000,4.0,2.0,CAN2 - Canyon Country 2,1634.0,8699.0,1968.0,80,318.0,0.0,34.4305691,-118.4039646
PAST SALE,Single Family Residential,Canyon Country,91387.0,520000,3.0,2.5,CAN2 - Canyon Country 2,1464.0,7689.0,1985.0,66,355.0,0.0,34.442192299999995,-118.40003929999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,565000,3.0,2.0,CAN2 - Canyon Country 2,1893.0,7266.0,1970.0,3,298.0,0.0,34.4447866,-118.39606840000002
PAST SALE,Single Family Residential,Canyon Country,91387.0,642500,4.0,3.25,CAN2 - Canyon Country 2,3047.0,5418.0,2006.0,76,211.0,247.0,34.4387014,-118.4155344
PAST SALE,Single Family Residential,Canyon Country,91387.0,620000,3.0,2.0,CAN2 - Canyon Country 2,1446.0,11685.0,1977.0,26,429.0,0.0,34.429351000000004,-118.4323058
PAST SALE,Single Family Residential,Canyon Country,91387.0,572000,5.0,3.0,CAN2 - Canyon Country 2,2419.0,1416187.0,2005.0,26,236.0,120.0,34.440588,-118.426148
PAST SALE,Single Family Residential,Canyon Country,91387.0,665000,4.0,2.75,CAN2 - Canyon Country 2,2576.0,12622.0,1993.0,81,258.0,0.0,34.442370200000006,-118.38954109999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,513000,4.0,3.0,CAN1 - Canyon Country 1,1625.0,7630.0,1994.0,19,316.0,95.0,34.4537994,-118.38851409999998
PAST SALE,Single Family Residential,Canyon Country,91387.0,552000,4.0,2.5,CAN2 - Canyon Country 2,1911.0,108074.0,1987.0,38,289.0,192.0,34.4325074,-118.40910659999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,535000,3.0,2.0,CAN2 - Canyon Country 2,1226.0,9838.0,1975.0,80,436.0,0.0,34.4538468,-118.39180060000001
PAST SALE,Single Family Residential,Canyon Country,91387.0,525000,4.0,2.0,CAN2 - Canyon Country 2,1250.0,6668.0,1968.0,73,420.0,0.0,34.4394044,-118.3921429
PAST SALE,Single Family Residential,Canyon Country,91387.0,530000,3.0,2.0,CAN2 - Canyon Country 2,1500.0,6565.0,1967.0,59,353.0,0.0,34.437568799999994,-118.39342099999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,520000,4.0,3.0,CAN2 - Canyon Country 2,2195.0,474753.0,2005.0,77,237.0,120.0,34.443649,-118.4256996
PAST SALE,Single Family Residential,Canyon Country,91387.0,583000,3.0,2.5,CAN2 - Canyon Country 2,2234.0,441139.0,2005.0,24,261.0,122.0,34.443583700000005,-118.4268116
PAST SALE,Townhouse,Canyon Country,91387.0,428000,3.0,3.0,CAN2 - Canyon Country 2,1605.0,317211.0,2002.0,21,267.0,355.0,34.432094,-118.41588
PAST SALE,Single Family Residential,Canyon Country,91387.0,500000,3.0,3.0,CAN2 - Canyon Country 2,1464.0,10346.0,1984.0,14,342.0,0.0,34.433089200000005,-118.40013059999998
PAST SALE,Single Family Residential,Canyon Country,91387.0,510000,4.0,2.0,CAN2 - Canyon Country 2,1634.0,10830.0,1969.0,13,312.0,0.0,34.43419779999999,-118.40339409999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,505000,3.0,2.0,CAN2 - Canyon Country 2,1156.0,8012.0,1973.0,81,437.0,0.0,34.448162200000006,-118.3913669
PAST SALE,Single Family Residential,Canyon Country,91387.0,550000,4.0,3.0,CAN2 - Canyon Country 2,2230.0,12818.0,1969.0,7,247.0,0.0,34.4393042,-118.40328000000001
PAST SALE,Single Family Residential,Canyon Country,91387.0,645000,4.0,3.0,CAN3 - Canyon Country 3,2248.0,5049.0,2014.0,59,287.0,80.0,34.403708,-118.43449620000001
PAST SALE,Townhouse,Canyon Country,91387.0,368500,2.0,2.0,CAN1 - Canyon Country 1,1100.0,76970.0,1993.0,45,335.0,300.0,34.4056229,-118.4515262
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,650000,3.0,2.5,STEV - Stevenson Ranch,1803.0,4791.0,1997.0,38,361.0,25.0,34.39232,-118.58310359999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,655166,2.0,2.5,Canyon Country 1,1617.0,0.0,2019.0,35,405.0,402.0,34.391384,-118.454424
PAST SALE,Condo/Co-op,Canyon Country,91387.0,414900,3.0,2.0,CAN3 - Canyon Country 3,1280.0,38513.0,2004.0,47,324.0,317.0,34.4018559,-118.45251950000001
PAST SALE,Single Family Residential,Canyon Country,91387.0,649000,2.0,1.25,SAND - Sand Canyon,1100.0,217748.0,1991.0,19,590.0,0.0,34.391495899999995,-118.39913700000001
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,700000,4.0,2.5,STEV - Stevenson Ranch,2158.0,4527.0,1997.0,19,324.0,8.0,34.3932146,-118.5858946
PAST SALE,Condo/Co-op,Canyon Country,91387.0,385000,2.0,2.0,CAN3 - Canyon Country 3,1160.0,58410.0,2004.0,19,332.0,317.0,34.403428999999996,-118.4508648
PAST SALE,Single Family Residential,Canyon Country,91387.0,676800,3.0,2.0,ALIE - Aliento,2062.0,6423.0,2018.0,4,328.0,210.0,34.390997,-118.45738700000001
PAST SALE,Townhouse,Sylmar,91342.0,437000,3.0,2.5,SYL - Sylmar,1520.0,0.0,2009.0,17,288.0,355.0,34.3223657,-118.4938581
PAST SALE,Single Family Residential,Canyon Country,91387.0,650000,4.0,3.5,Canyon Country 3,2335.0,5362.0,2012.0,11,278.0,80.0,34.4063854,-118.4352574
PAST SALE,Single Family Residential,Stevenson Ranch,91381.0,588582,4.0,2.0,STEV - Stevenson Ranch,1979.0,6785.0,1997.0,52,297.0,25.0,34.388483,-118.59162920000001
PAST SALE,Townhouse,Stevenson Ranch,91381.0,500000,3.0,3.0,STEV - Stevenson Ranch,1667.0,38771.0,1991.0,40,300.0,312.0,34.389784999999996,-118.58756799999999
PAST SALE,Condo/Co-op,Sylmar,91342.0,380000,2.0,2.0,SYL - Sylmar,1061.0,20865.0,2007.0,45,358.0,339.0,34.3245391,-118.4931729
PAST SALE,Single Family Residential,Canyon Country,91387.0,699999,4.0,3.0,CAN3 - Canyon Country 3,2793.0,6282.0,2000.0,52,251.0,129.0,34.3970358,-118.4484595
PAST SALE,Single Family Residential,Canyon Country,91387.0,640000,4.0,3.0,CAN3 - Canyon Country 3,2776.0,4843.0,2008.0,90,231.0,80.0,34.4081548,-118.43723419999999
